Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
SG,10.7,1.9,0.7,2.2,6.1,1.1,0.1,4.0,0.153,0.468,0.355,0.28,0.733,0.182
C,5.4,2.0,1.3,10.0,6.0,1.4,1.6,2.4,0.179,0.629,0.385,0.6609999999999999,1.0,0.095
PF,12.3,4.4,2.0,9.8,3.7,1.1,1.1,2.9,0.156,0.72,0.336,0.49,0.851,0.268
SF,13.4,7.2,0.8,8.3,6.2,2.3,0.7,4.2,0.125,0.684,0.412,0.339,0.65,0.181
C,12.9,2.7,5.3,7.4,2.5,1.3,1.4,2.2,0.136,0.703,0.28600000000000003,0.7240000000000001,1.0,0.5710000000000001
C,18.1,3.6,3.1,10.5,4.4,1.6,1.3,3.2,0.259,0.802,0.0,0.748,0.0,0.5
SG,15.3,7.1,0.9,7.3,4.6,1.6,0.9,2.7,0.263,0.617,0.34700000000000003,0.235,0.54,0.127
C,11.6,8.4,4.8,14.3,2.1,1.1,2.8,2.7,0.158,0.755,0.0,0.7490000000000001,0.0,0.0
PG,11.2,3.3,1.2,6.6,5.5,1.3,0.4,3.1,0.184,0.6409999999999999,0.299,0.28,0.615,0.184
PF,12.8,5.4,2.6,8.9,5.5,1.2,0.9,2.4,0.126,0.7040000000000001,0.308,0.5,0.89,0.177
SF,7.3,4.9,0.4,2.8,2.5,1.0,0.6,2.0,0.112,0.5589999999999999,0.317,0.5329999999999999,0.802,0.079
PG,8.6,5.3,1.0,3.9,10.7,1.4,0.3,4.1,0.11,0.5429999999999999,0.373,0.307,0.546,0.063
SF,6.1,2.8,2.6,5.0,2.3,1.2,0.3,1.5,0.211,0.484,0.275,0.63,0.97,0.292
SF,6.4,2.6,2.0,5.0,2.1,1.2,0.1,1.3,0.206,0.481,0.241,0.619,0.95,0.253
SF,5.3,3.3,3.9,4.9,2.6,1.2,0.7,1.8,0.224,0.5,0.35100000000000003,0.667,1.0,0.378
PF,10.0,5.1,1.5,5.0,2.3,1.3,1.5,1.6,0.16399999999999998,0.6859999999999999,0.389,0.7659999999999999,1.0,0.294
SG,4.1,1.4,1.4,4.9,2.6,2.4,0.9,1.8,0.07400000000000001,0.672,0.3670000000000001,0.675,0.975,0.391
PF,7.3,3.3,0.9,9.5,10.4,2.3,1.3,3.8,0.184,0.685,0.279,0.7240000000000001,1.0,0.093
PF,4.1,1.7,2.8,11.2,1.8,1.0,0.9,2.0,0.085,0.611,0.387,0.5760000000000001,1.0,0.231
PF,8.0,4.5,1.2,5.4,2.5,1.3,0.9,2.1,0.16,0.747,0.339,0.67,0.952,0.388
PF,8.0,5.5,1.2,5.9,1.8,1.1,0.9,2.4,0.2,0.564,0.327,0.61,0.941,0.375
C,8.0,3.2,1.1,4.8,3.4,1.6,1.0,1.7,0.107,0.885,0.354,0.7140000000000001,0.964,0.405
PF,13.4,9.4,1.6,6.4,5.7,0.7,0.7,3.8,0.212,0.565,0.243,0.393,0.593,0.21600000000000005
SG,7.1,2.5,1.4,5.7,4.3,1.2,0.8,3.5,0.108,0.605,0.301,0.568,0.96,0.241
PF,14.8,4.5,2.5,7.0,2.8,1.2,0.3,1.7,0.196,0.684,0.287,0.629,1.0,0.253
SG,8.6,4.2,0.6,4.8,3.2,0.9,0.1,1.6,0.11,0.612,0.398,0.517,0.838,0.24
SG,12.5,14.9,1.3,7.0,9.5,2.3,1.1,5.7,0.177,0.6679999999999999,0.355,0.139,0.171,0.045
PF,6.2,2.2,1.8,6.2,2.3,1.9,1.1,1.8,0.095,0.667,0.34700000000000003,0.639,0.912,0.551
PF,6.0,1.7,1.9,6.3,2.0,2.0,1.2,1.9,0.097,0.664,0.37,0.647,0.963,0.603
SF,7.0,4.1,1.4,5.4,3.4,1.5,0.5,1.2,0.091,0.677,0.28,0.609,0.7140000000000001,0.4
C,21.5,9.5,4.4,7.6,2.9,1.1,1.9,2.9,0.305,0.705,0.0,0.618,0.0,0.0
SG,8.6,2.6,0.7,3.8,3.3,2.1,0.4,1.7,0.14800000000000002,0.649,0.333,0.757,0.9,0.295
SF,8.4,2.0,1.4,5.2,3.2,0.9,0.4,2.3,0.111,0.652,0.424,0.7659999999999999,0.959,0.17
PF,16.0,4.2,1.4,8.4,4.5,1.0,0.8,2.0,0.214,0.662,0.3670000000000001,0.479,0.863,0.19
SG,12.2,5.0,2.2,6.4,4.9,3.4,1.9,1.9,0.17,0.5760000000000001,0.381,0.508,0.813,0.381
SF,4.7,3.0,1.6,9.6,2.8,1.7,0.6,2.0,0.073,0.688,0.342,0.462,0.967,0.277
C,10.8,4.9,5.0,10.6,3.1,1.6,2.1,2.8,0.179,0.792,0.0,0.818,0.0,0.2
C,10.9,8.1,4.2,6.9,2.4,1.1,2.4,2.3,0.124,0.7509999999999999,0.25,0.809,1.0,0.25
SF,13.3,4.0,1.5,8.1,5.9,1.1,0.6,2.7,0.18600000000000005,0.752,0.383,0.487,0.835,0.21600000000000005
C,11.0,3.7,3.7,9.4,4.4,2.0,3.4,2.9,0.31,0.785,0.222,0.77,1.0,0.278
C,10.5,3.9,3.8,9.7,5.1,1.9,3.8,2.5,0.28300000000000003,0.769,0.194,0.8,1.0,0.258
C,12.0,3.4,3.7,8.9,2.9,2.1,2.6,3.9,0.373,0.815,0.4,0.7190000000000001,1.0,0.4
PF,6.8,4.1,2.5,8.9,2.3,1.1,0.5,1.8,0.097,0.575,0.341,0.679,0.977,0.217
PF,5.9,2.9,2.8,8.3,2.6,0.6,0.6,2.1,0.091,0.5429999999999999,0.25,0.609,1.0,0.25
PF,7.7,5.2,2.1,9.4,2.0,1.6,0.5,1.6,0.102,0.596,0.42,0.727,0.966,0.188
C,15.6,7.9,5.7,12.2,3.9,1.3,0.9,4.0,0.273,0.706,0.227,0.58,1.0,0.136
SG,10.8,3.2,0.5,6.7,3.9,1.1,0.3,2.8,0.106,0.584,0.389,0.474,0.784,0.151
PF,7.7,3.2,1.6,8.4,2.7,2.0,0.5,2.3,0.165,0.5,0.308,0.441,0.917,0.16699999999999998
SG,10.4,3.0,1.2,5.9,4.7,1.4,0.4,3.7,0.078,0.675,0.394,0.396,0.723,0.172
PG,7.2,3.6,1.8,4.6,6.5,1.7,0.2,2.0,0.112,0.7609999999999999,0.46,0.469,0.642,0.233
PF,4.6,2.3,1.3,5.9,4.5,1.9,0.5,2.2,0.147,0.463,0.368,0.5529999999999999,0.921,0.246
PF,4.5,2.0,1.2,6.2,4.9,1.6,0.4,2.1,0.133,0.5,0.381,0.625,0.929,0.252
PF,5.5,4.2,1.3,4.2,2.6,3.1,1.3,2.9,0.222,0.28600000000000003,0.292,0.14300000000000002,0.857,0.208
PG,10.3,2.6,0.7,4.0,6.8,1.7,0.5,2.6,0.17800000000000002,0.57,0.394,0.28800000000000003,0.8390000000000001,0.16699999999999998
SG,14.4,4.0,1.7,4.7,8.9,2.2,1.0,4.0,0.214,0.628,0.353,0.31,0.574,0.147
