Pos,MPG,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,2P_3-10,2P_10-16,2P_16-3P,2P%_0-3,2P%_3-10,2P%_10-16,2P%_16-3P,3P%,2P%_asst,3P%_asst,Corner3%_3PA,Corner3%
SF,29.377777777777773,4.7,3.4,1.4,8.4,4.4,1.7,0.5,1.9,3.0,106.0,110,0.05,0.023,0.058,0.642,0.3,0.111,0.435,0.293,0.594,0.821,0.184,0.306
PF,27.65,3.2,2.6,1.1,8.4,3.2,2.2,0.9,1.3,5.1,127.0,107,0.03,0.012,0.03,0.667,0.6,1.0,0.2,0.445,0.818,0.895,0.313,0.475
SG,23.904761904761905,10.7,3.6,2.2,4.4,3.4,1.8,1.2,2.5,3.9,94.0,113,0.18600000000000005,0.03,0.016,0.583,0.274,0.412,0.222,0.299,0.396,0.758,0.17600000000000002,0.205
SG,24.625,7.8,3.0,0.8,3.6,3.8,1.2,0.3,1.9,3.5,123.0,115,0.129,0.105,0.117,0.7120000000000001,0.446,0.55,0.537,0.452,0.424,0.8,0.171,0.436
SG,11.319148936170215,4.9,1.4,1.1,3.6,1.5,1.0,0.3,1.1,3.3,105.0,112,0.065,0.065,0.108,0.7,0.5,0.5,0.35,0.348,0.769,0.957,0.28,0.4320000000000001
SG,11.121951219512193,4.8,1.7,1.3,3.5,1.5,0.8,0.3,0.9,3.1,108.0,112,0.07,0.07,0.08900000000000001,0.7,0.545,0.455,0.28600000000000003,0.35700000000000004,0.727,0.95,0.277,0.419
PF,34.37096774193548,19.6,11.7,3.2,9.7,4.5,2.0,3.2,3.4,3.5,121.0,102,0.172,0.155,0.13,0.758,0.413,0.412,0.322,0.33,0.578,0.986,0.17,0.4320000000000001
C,10.821428571428573,7.4,2.2,5.6,11.2,1.9,1.8,1.4,2.1,9.8,110.0,106,0.37,0.0,0.022,0.607,0.235,0.0,1.0,0.0,0.545,0.0,0.0,0.0
SG,16.791666666666668,7.6,2.3,2.0,7.4,4.5,1.5,0.6,3.0,4.9,111.0,106,0.08900000000000001,0.037000000000000005,0.014,0.677,0.282,0.188,0.16699999999999998,0.388,0.419,0.904,0.236,0.474
C,17.59090909090909,9.2,2.2,3.7,11.7,1.4,1.5,2.5,3.5,8.2,90.0,108,0.153,0.047,0.055,0.675,0.333,0.417,0.429,0.206,0.738,0.955,0.187,0.15
C,15.911764705882351,9.0,2.5,4.1,10.9,1.3,1.3,2.3,4.2,8.3,89.0,108,0.181,0.035,0.064,0.6920000000000001,0.355,0.5,0.455,0.197,0.7090000000000001,1.0,0.141,0.3
PG,14.403508771929824,5.0,2.2,1.1,3.4,10.7,1.2,0.1,3.5,4.6,103.0,118,0.229,0.103,0.011,0.542,0.4,0.611,0.5,0.231,0.317,0.905,0.165,0.333
SF,34.05882352941177,20.9,9.3,0.9,6.8,7.8,1.4,0.4,3.4,3.7,118.0,115,0.248,0.263,0.19,0.731,0.488,0.475,0.4320000000000001,0.257,0.27,0.889,0.28600000000000003,0.4
C,10.191489361702127,13.7,3.9,3.0,10.0,2.2,1.1,1.2,3.2,5.4,119.0,110,0.19,0.099,0.077,0.77,0.444,0.5710000000000001,0.364,0.333,0.835,1.0,0.667,0.5
SF,19.47826086956522,13.0,3.4,2.4,6.7,2.0,2.0,0.5,2.8,5.5,94.0,109,0.223,0.071,0.044,0.633,0.242,0.333,0.385,0.281,0.638,0.938,0.614,0.343
C,17.396825396825395,9.0,4.3,3.9,11.2,3.1,2.2,2.5,2.5,5.3,113.0,106,0.102,0.077,0.107,0.6759999999999999,0.324,0.393,0.41,0.355,0.723,0.963,0.263,0.45
